Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,Duration_Score,Sleep_Efficiency,Efficiency_Score,Sleep_Score,SleepDate
1503960366,2016-04-12,1,327,346,54.5,0.9450867052023122,28.352601156069365,82.85260115606937,2016-04-12
1503960366,2016-04-13,2,384,407,64.0,0.9434889434889435,28.304668304668304,92.3046683046683,2016-04-13
1503960366,2016-04-15,1,412,442,68.66666666666666,0.9321266968325792,27.963800904977376,96.63046757164403,2016-04-15
1503960366,2016-04-16,2,340,367,56.666666666666664,0.9264305177111717,27.79291553133515,84.45958219800181,2016-04-16
1503960366,2016-04-17,1,700,712,43.333333333333336,0.9831460674157303,29.49438202247191,72.82771535580525,2016-04-17
1503960366,2016-04-19,1,304,320,50.666666666666664,0.95,28.5,79.16666666666666,2016-04-19
1503960366,2016-04-20,1,360,377,60.0,0.9549071618037135,28.647214854111404,88.64721485411141,2016-04-20
1503960366,2016-04-21,1,325,364,54.16666666666667,0.8928571428571429,26.78571428571429,80.95238095238096,2016-04-21
1503960366,2016-04-23,1,361,384,60.16666666666667,0.9401041666666666,28.203125,88.36979166666667,2016-04-23
1503960366,2016-04-24,1,430,449,70.0,0.9576837416481069,28.730512249443205,98.73051224944321,2016-04-24
1503960366,2016-04-25,1,277,323,46.166666666666664,0.8575851393188855,25.727554179566564,71.89422084623322,2016-04-25
1503960366,2016-04-26,1,245,274,40.833333333333336,0.8941605839416058,26.824817518248175,67.65815085158151,2016-04-26
1503960366,2016-04-28,1,366,393,61.0,0.9312977099236641,27.938931297709924,88.93893129770993,2016-04-28
1503960366,2016-04-29,1,341,354,56.833333333333336,0.963276836158192,28.89830508474576,85.7316384180791,2016-04-29
1503960366,2016-04-30,1,404,425,67.33333333333333,0.9505882352941176,28.517647058823528,95.85098039215686,2016-04-30
1503960366,2016-05-01,1,369,396,61.5,0.9318181818181818,27.954545454545453,89.45454545454545,2016-05-01
1503960366,2016-05-02,1,277,309,46.166666666666664,0.8964401294498382,26.893203883495147,73.0598705501618,2016-05-02
1503960366,2016-05-03,1,273,296,45.5,0.9222972972972973,27.66891891891892,73.16891891891892,2016-05-03
1503960366,2016-05-05,1,247,264,41.16666666666667,0.9356060606060606,28.068181818181817,69.23484848484848,2016-05-05
1503960366,2016-05-06,1,334,367,55.666666666666664,0.9100817438692098,27.302452316076295,82.96911898274296,2016-05-06
1503960366,2016-05-07,1,331,349,55.166666666666664,0.9484240687679083,28.45272206303725,83.61938872970391,2016-05-07
1503960366,2016-05-08,1,594,611,61.0,0.972176759410802,29.16530278232406,90.16530278232406,2016-05-08
1503960366,2016-05-09,1,338,342,56.333333333333336,0.9883040935672515,29.649122807017545,85.98245614035088,2016-05-09
1503960366,2016-05-10,1,383,403,63.83333333333333,0.9503722084367245,28.511166253101734,92.34449958643506,2016-05-10
1503960366,2016-05-11,1,285,306,47.5,0.9313725490196079,27.941176470588236,75.44117647058823,2016-05-11
1644430081,2016-04-29,1,119,127,19.833333333333332,0.937007874015748,28.11023622047244,47.94356955380577,2016-04-29
1644430081,2016-04-30,1,124,142,20.666666666666668,0.8732394366197183,26.197183098591548,46.863849765258216,2016-04-30
1644430081,2016-05-02,1,796,961,30.0,0.8283038501560874,24.849115504682622,54.84911550468262,2016-05-02
1644430081,2016-05-08,1,137,154,22.833333333333332,0.8896103896103896,26.68831168831169,49.52164502164502,2016-05-08
1844505072,2016-04-15,1,644,961,52.666666666666664,0.6701352757544224,20.104058272632674,72.77072493929934,2016-04-15
1844505072,2016-04-30,1,722,961,39.66666666666667,0.7513007284079084,22.53902185223725,62.205688518903926,2016-04-30
1844505072,2016-05-01,1,590,961,61.666666666666664,0.6139438085327783,18.41831425598335,80.08498092265002,2016-05-01
1927972279,2016-04-12,3,750,775,35.0,0.967741935483871,29.032258064516128,64.03225806451613,2016-04-12
1927972279,2016-04-13,1,398,422,66.33333333333333,0.943127962085308,28.29383886255924,94.62717219589257,2016-04-13
1927972279,2016-04-15,2,475,499,70.0,0.9519038076152304,28.55711422845691,98.55711422845691,2016-04-15
1927972279,2016-04-26,1,296,315,49.333333333333336,0.9396825396825397,28.19047619047619,77.52380952380952,2016-04-26
1927972279,2016-04-28,1,166,178,27.666666666666664,0.9325842696629213,27.977528089887638,55.6441947565543,2016-04-28
2026352035,2016-04-12,1,503,546,70.0,0.9212454212454212,27.637362637362635,97.63736263736263,2016-04-12
2026352035,2016-04-13,1,531,565,70.0,0.9398230088495575,28.194690265486724,98.19469026548673,2016-04-13
2026352035,2016-04-14,1,545,568,69.16666666666667,0.9595070422535211,28.785211267605632,97.9518779342723,2016-04-14
2026352035,2016-04-15,1,523,573,70.0,0.912739965095986,27.38219895287958,97.38219895287958,2016-04-15
2026352035,2016-04-16,1,524,567,70.0,0.9241622574955908,27.724867724867725,97.72486772486772,2016-04-16
2026352035,2016-04-17,1,437,498,70.0,0.8775100401606426,26.32530120481928,96.32530120481928,2016-04-17
2026352035,2016-04-19,1,498,540,70.0,0.9222222222222223,27.666666666666668,97.66666666666667,2016-04-19
2026352035,2016-04-20,1,461,510,70.0,0.903921568627451,27.11764705882353,97.11764705882354,2016-04-20
2026352035,2016-04-21,1,477,514,70.0,0.9280155642023347,27.84046692607004,97.84046692607004,2016-04-21
2026352035,2016-04-22,1,520,545,70.0,0.9541284403669725,28.623853211009177,98.62385321100918,2016-04-22
2026352035,2016-04-23,1,522,554,70.0,0.9422382671480144,28.267148014440433,98.26714801444044,2016-04-23
2026352035,2016-04-24,1,555,591,67.5,0.9390862944162437,28.17258883248731,95.6725888324873,2016-04-24
2026352035,2016-04-25,1,506,531,70.0,0.9529190207156308,28.587570621468924,98.58757062146893,2016-04-25
2026352035,2016-04-27,1,508,545,70.0,0.9321100917431193,27.96330275229358,97.96330275229357,2016-04-27
2026352035,2016-04-28,1,513,545,70.0,0.9412844036697248,28.238532110091743,98.23853211009174,2016-04-28
2026352035,2016-04-29,1,490,510,70.0,0.9607843137254902,28.823529411764707,98.82352941176471,2016-04-29
2026352035,2016-04-30,1,573,607,64.5,0.943986820428336,28.319604612850082,92.81960461285009,2016-04-30
2026352035,2016-05-01,1,527,546,70.0,0.9652014652014652,28.956043956043956,98.95604395604396,2016-05-01
2026352035,2016-05-02,1,511,543,70.0,0.9410681399631676,28.23204419889503,98.23204419889503,2016-05-02
2026352035,2016-05-04,1,538,560,70.0,0.9607142857142857,28.821428571428573,98.82142857142857,2016-05-04
2026352035,2016-05-05,1,468,485,70.0,0.9649484536082474,28.948453608247423,98.94845360824742,2016-05-05
2026352035,2016-05-06,1,524,548,70.0,0.9562043795620438,28.686131386861316,98.68613138686132,2016-05-06
2026352035,2016-05-07,1,511,521,70.0,0.980806142034549,29.42418426103647,99.42418426103647,2016-05-07
2026352035,2016-05-08,1,541,568,69.83333333333333,0.9524647887323944,28.573943661971832,98.40727699530515,2016-05-08
2026352035,2016-05-09,1,531,556,70.0,0.9550359712230215,28.651079136690647,98.65107913669064,2016-05-09
2026352035,2016-05-10,1,357,380,59.5,0.9394736842105263,28.18421052631579,87.6842105263158,2016-05-10
2026352035,2016-05-11,1,523,553,70.0,0.945750452079566,28.37251356238698,98.37251356238698,2016-05-11
2026352035,2016-05-12,1,456,485,70.0,0.9402061855670103,28.20618556701031,98.20618556701031,2016-05-12
2320127002,2016-04-23,1,61,69,10.166666666666668,0.8840579710144928,26.521739130434785,36.68840579710145,2016-04-23
2347167796,2016-04-13,1,467,531,70.0,0.879472693032015,26.38418079096045,96.38418079096044,2016-04-13
2347167796,2016-04-14,1,445,489,70.0,0.9100204498977505,27.300613496932517,97.30061349693251,2016-04-14
2347167796,2016-04-15,1,452,504,70.0,0.8968253968253969,26.904761904761905,96.9047619047619,2016-04-15
2347167796,2016-04-17,1,556,602,67.33333333333333,0.9235880398671097,27.70764119601329,95.04097452934661,2016-04-17
2347167796,2016-04-18,1,500,557,70.0,0.8976660682226212,26.929982046678635,96.92998204667863,2016-04-18
2347167796,2016-04-19,1,465,514,70.0,0.9046692607003891,27.140077821011673,97.14007782101167,2016-04-19
2347167796,2016-04-21,1,460,484,70.0,0.9504132231404959,28.51239669421488,98.51239669421489,2016-04-21
2347167796,2016-04-22,1,405,461,67.5,0.8785249457700651,26.355748373101953,93.85574837310196,2016-04-22
2347167796,2016-04-23,1,374,386,62.33333333333333,0.9689119170984456,29.067357512953368,91.4006908462867,2016-04-23
2347167796,2016-04-24,1,442,459,70.0,0.9629629629629629,28.888888888888886,98.88888888888889,2016-04-24
2347167796,2016-04-25,1,433,471,70.0,0.9193205944798302,27.579617834394906,97.57961783439491,2016-04-25
2347167796,2016-04-26,1,436,490,70.0,0.889795918367347,26.693877551020407,96.6938775510204,2016-04-26
2347167796,2016-04-27,1,448,499,70.0,0.8977955911823647,26.93386773547094,96.93386773547094,2016-04-27
2347167796,2016-04-28,1,408,450,68.0,0.9066666666666666,27.2,95.2,2016-04-28
2347167796,2016-04-29,1,411,473,68.5,0.86892177589852,26.0676532769556,94.5676532769556,2016-04-29
3977333714,2016-04-12,1,274,469,45.666666666666664,0.5842217484008528,17.526652452025584,63.193319118692244,2016-04-12
3977333714,2016-04-13,2,295,456,49.166666666666664,0.6469298245614035,19.407894736842103,68.57456140350877,2016-04-13
3977333714,2016-04-14,1,291,397,48.5,0.7329974811083123,21.98992443324937,70.48992443324937,2016-04-14
3977333714,2016-04-15,1,424,556,70.0,0.762589928057554,22.87769784172662,92.87769784172662,2016-04-15
3977333714,2016-04-16,1,283,510,47.16666666666667,0.5549019607843138,16.647058823529413,63.813725490196084,2016-04-16
3977333714,2016-04-17,1,381,566,63.5,0.6731448763250883,20.19434628975265,83.69434628975264,2016-04-17
3977333714,2016-04-18,2,412,522,68.66666666666666,0.789272030651341,23.67816091954023,92.34482758620689,2016-04-18
3977333714,2016-04-19,1,219,395,36.5,0.5544303797468354,16.632911392405063,53.13291139240506,2016-04-19
3977333714,2016-04-20,2,152,305,25.333333333333332,0.49836065573770494,14.950819672131148,40.28415300546448,2016-04-20
3977333714,2016-04-21,1,332,512,55.33333333333333,0.6484375,19.453125,74.78645833333333,2016-04-21
3977333714,2016-04-22,1,355,476,59.166666666666664,0.7457983193277311,22.373949579831933,81.5406162464986,2016-04-22
3977333714,2016-04-23,1,235,372,39.166666666666664,0.6317204301075269,18.951612903225808,58.11827956989247,2016-04-23
3977333714,2016-04-24,1,310,526,51.66666666666667,0.5893536121673004,17.680608365019012,69.34727503168568,2016-04-24
3977333714,2016-04-25,1,262,467,43.666666666666664,0.5610278372591007,16.83083511777302,60.497501784439685,2016-04-25
3977333714,2016-04-26,1,250,371,41.666666666666664,0.6738544474393531,20.21563342318059,61.882300089847256,2016-04-26
3977333714,2016-04-27,1,349,540,58.16666666666667,0.6462962962962963,19.38888888888889,77.55555555555556,2016-04-27
3977333714,2016-04-28,1,261,423,43.5,0.6170212765957447,18.51063829787234,62.01063829787234,2016-04-28
3977333714,2016-04-29,1,333,478,55.5,0.696652719665272,20.89958158995816,76.39958158995816,2016-04-29
3977333714,2016-04-30,1,237,382,39.5,0.6204188481675392,18.612565445026178,58.11256544502618,2016-04-30
3977333714,2016-05-01,1,383,626,63.83333333333333,0.6118210862619808,18.354632587859424,82.18796592119276,2016-05-01
3977333714,2016-05-02,1,230,384,38.333333333333336,0.5989583333333334,17.96875,56.302083333333336,2016-05-02
3977333714,2016-05-03,1,292,500,48.666666666666664,0.584,17.52,66.18666666666667,2016-05-03
3977333714,2016-05-04,1,213,336,35.5,0.6339285714285714,19.017857142857142,54.51785714285714,2016-05-04
3977333714,2016-05-05,1,318,480,53.0,0.6625,19.875,72.875,2016-05-05
3977333714,2016-05-06,1,323,512,53.833333333333336,0.630859375,18.92578125,72.75911458333334,2016-05-06
3977333714,2016-05-07,1,237,443,39.5,0.5349887133182845,16.049661399548533,55.54966139954853,2016-05-07
3977333714,2016-05-08,2,259,456,43.16666666666667,0.5679824561403509,17.039473684210527,60.2061403508772,2016-05-08
3977333714,2016-05-10,1,312,452,52.0,0.6902654867256637,20.70796460176991,72.7079646017699,2016-05-10
4020332650,2016-04-12,1,501,541,70.0,0.9260628465804066,27.781885397412196,97.7818853974122,2016-04-12
4020332650,2016-04-16,1,77,77,12.833333333333332,1.0,30.0,42.83333333333333,2016-04-16
4020332650,2016-05-03,1,322,332,53.66666666666667,0.9698795180722891,29.096385542168672,82.76305220883535,2016-05-03
4020332650,2016-05-04,1,478,536,70.0,0.8917910447761194,26.75373134328358,96.75373134328358,2016-05-04
4020332650,2016-05-05,1,226,248,37.666666666666664,0.9112903225806451,27.338709677419352,65.00537634408602,2016-05-05
4020332650,2016-05-06,1,385,408,64.16666666666666,0.9436274509803921,28.308823529411764,92.47549019607843,2016-05-06
4020332650,2016-05-08,1,364,402,60.66666666666667,0.9054726368159204,27.16417910447761,87.83084577114428,2016-05-08
4020332650,2016-05-10,1,442,494,70.0,0.8947368421052632,26.842105263157894,96.84210526315789,2016-05-10
4319703577,2016-04-14,1,535,557,70.0,0.9605026929982047,28.81508078994614,98.81508078994614,2016-04-14
4319703577,2016-04-15,1,465,491,70.0,0.9470468431771895,28.411405295315685,98.41140529531569,2016-04-15
4319703577,2016-04-16,1,506,522,70.0,0.9693486590038314,29.080459770114942,99.08045977011494,2016-04-16
4319703577,2016-04-18,1,515,551,70.0,0.9346642468239564,28.039927404718693,98.0399274047187,2016-04-18
4319703577,2016-04-19,2,461,498,70.0,0.9257028112449799,27.771084337349397,97.7710843373494,2016-04-19
4319703577,2016-04-20,1,523,543,70.0,0.9631675874769797,28.895027624309392,98.89502762430939,2016-04-20
4319703577,2016-04-21,1,59,65,9.833333333333334,0.9076923076923077,27.23076923076923,37.06410256410256,2016-04-21
4319703577,2016-04-22,1,533,550,70.0,0.9690909090909091,29.072727272727274,99.07272727272728,2016-04-22
4319703577,2016-04-23,1,692,722,44.66666666666667,0.9584487534626038,28.753462603878116,73.42012927054479,2016-04-23
4319703577,2016-04-24,1,467,501,70.0,0.9321357285429142,27.964071856287426,97.96407185628743,2016-04-24
4319703577,2016-04-25,1,488,506,70.0,0.9644268774703557,28.932806324110672,98.93280632411067,2016-04-25
4319703577,2016-04-26,1,505,516,70.0,0.9786821705426356,29.36046511627907,99.36046511627907,2016-04-26
4319703577,2016-04-27,1,286,307,47.66666666666667,0.9315960912052117,27.94788273615635,75.61454940282303,2016-04-27
4319703577,2016-04-28,1,497,522,70.0,0.9521072796934866,28.5632183908046,98.5632183908046,2016-04-28
4319703577,2016-04-29,1,523,546,70.0,0.9578754578754579,28.736263736263737,98.73626373626374,2016-04-29
4319703577,2016-04-30,1,490,516,70.0,0.9496124031007752,28.488372093023255,98.48837209302326,2016-04-30
4319703577,2016-05-01,1,484,500,70.0,0.968,29.04,99.03999999999999,2016-05-01
4319703577,2016-05-02,1,478,506,70.0,0.9446640316205533,28.3399209486166,98.3399209486166,2016-05-02
4319703577,2016-05-03,1,474,512,70.0,0.92578125,27.7734375,97.7734375,2016-05-03
4319703577,2016-05-06,1,450,491,70.0,0.9164969450101833,27.4949083503055,97.49490835030551,2016-05-06
4319703577,2016-05-07,1,507,530,70.0,0.9566037735849057,28.69811320754717,98.69811320754717,2016-05-07
4319703577,2016-05-08,1,602,638,59.666666666666664,0.9435736677115988,28.307210031347964,87.97387669801464,2016-05-08
4319703577,2016-05-09,1,535,565,70.0,0.9469026548672567,28.4070796460177,98.4070796460177,2016-05-09
4319703577,2016-05-10,1,487,517,70.0,0.941972920696325,28.25918762088975,98.25918762088975,2016-05-10
4319703577,2016-05-11,1,529,558,70.0,0.9480286738351255,28.440860215053764,98.44086021505376,2016-05-11
4319703577,2016-05-12,1,302,321,50.333333333333336,0.940809968847352,28.22429906542056,78.5576323987539,2016-05-12
4388161847,2016-04-15,1,499,526,70.0,0.9486692015209125,28.460076045627375,98.46007604562737,2016-04-15
4388161847,2016-04-16,2,426,448,70.0,0.9508928571428571,28.52678571428571,98.52678571428571,2016-04-16
4388161847,2016-04-17,2,619,641,56.833333333333336,0.9656786271450858,28.970358814352572,85.80369214768591,2016-04-17
4388161847,2016-04-18,1,99,104,16.5,0.9519230769230769,28.557692307692307,45.05769230769231,2016-04-18
4388161847,2016-04-19,1,329,338,54.833333333333336,0.9733727810650887,29.20118343195266,84.034516765286,2016-04-19
4388161847,2016-04-20,1,421,451,70.0,0.9334811529933481,28.004434589800443,98.00443458980044,2016-04-20
4388161847,2016-04-21,1,442,458,70.0,0.9650655021834061,28.951965065502183,98.95196506550218,2016-04-21
4388161847,2016-04-22,1,82,85,13.666666666666666,0.9647058823529412,28.941176470588236,42.6078431372549,2016-04-22
4388161847,2016-04-23,1,478,501,70.0,0.9540918163672655,28.622754491017965,98.62275449101796,2016-04-23
4388161847,2016-04-24,3,552,595,68.0,0.9277310924369748,27.831932773109244,95.83193277310924,2016-04-24
4388161847,2016-04-26,1,319,346,53.166666666666664,0.9219653179190751,27.658959537572255,80.82562620423892,2016-04-26
4388161847,2016-04-27,1,439,500,70.0,0.878,26.34,96.34,2016-04-27
4388161847,2016-04-28,1,428,458,70.0,0.9344978165938864,28.034934497816593,98.0349344978166,2016-04-28
4388161847,2016-04-30,2,409,430,68.16666666666667,0.9511627906976744,28.53488372093023,96.70155038759691,2016-04-30
4388161847,2016-05-01,1,547,597,68.83333333333333,0.916247906197655,27.48743718592965,96.32077051926298,2016-05-01
4388161847,2016-05-02,2,368,376,61.333333333333336,0.9787234042553191,29.361702127659573,90.69503546099291,2016-05-02
4388161847,2016-05-04,1,390,414,65.0,0.9420289855072463,28.26086956521739,93.26086956521739,2016-05-04
4388161847,2016-05-05,1,471,495,70.0,0.9515151515151515,28.545454545454547,98.54545454545455,2016-05-05
4388161847,2016-05-07,1,472,496,70.0,0.9516129032258065,28.548387096774196,98.54838709677419,2016-05-07
4388161847,2016-05-08,2,529,541,70.0,0.977818853974122,29.33456561922366,99.33456561922367,2016-05-08
4388161847,2016-05-09,1,62,65,10.333333333333334,0.9538461538461539,28.615384615384617,38.94871794871795,2016-05-09
4388161847,2016-05-10,1,354,375,59.0,0.944,28.32,87.32,2016-05-10
4388161847,2016-05-11,1,469,494,70.0,0.9493927125506073,28.48178137651822,98.48178137651823,2016-05-11
4445114986,2016-04-12,2,429,457,70.0,0.9387308533916849,28.161925601750546,98.16192560175054,2016-04-12
4445114986,2016-04-13,2,370,406,61.666666666666664,0.9113300492610837,27.339901477832512,89.00656814449917,2016-04-13
4445114986,2016-04-14,1,441,492,70.0,0.8963414634146342,26.890243902439025,96.89024390243902,2016-04-14
4445114986,2016-04-15,2,337,379,56.16666666666667,0.8891820580474934,26.6754617414248,82.84212840809147,2016-04-15
4445114986,2016-04-16,1,462,499,70.0,0.9258517034068137,27.77555110220441,97.77555110220442,2016-04-16
4445114986,2016-04-17,1,98,107,16.333333333333332,0.9158878504672897,27.476635514018692,43.809968847352025,2016-04-17
4445114986,2016-04-19,2,388,424,64.66666666666667,0.9150943396226415,27.452830188679247,92.11949685534591,2016-04-19
4445114986,2016-04-20,1,439,462,70.0,0.9502164502164502,28.506493506493506,98.50649350649351,2016-04-20
4445114986,2016-04-21,1,436,469,70.0,0.929637526652452,27.88912579957356,97.88912579957356,2016-04-21
4445114986,2016-04-22,1,388,417,64.66666666666667,0.9304556354916067,27.913669064748202,92.58033573141488,2016-04-22
4445114986,2016-04-25,1,328,345,54.666666666666664,0.9507246376811594,28.521739130434785,83.18840579710145,2016-04-25
4445114986,2016-04-26,2,353,391,58.833333333333336,0.9028132992327366,27.084398976982097,85.91773231031543,2016-04-26
4445114986,2016-04-27,1,332,374,55.33333333333333,0.8877005347593583,26.63101604278075,81.96434937611409,2016-04-27
4445114986,2016-04-28,1,419,442,69.83333333333333,0.9479638009049773,28.43891402714932,98.27224736048265,2016-04-28
4445114986,2016-04-29,1,106,108,17.666666666666664,0.9814814814814815,29.444444444444446,47.111111111111114,2016-04-29
4445114986,2016-04-30,1,322,353,53.66666666666667,0.9121813031161473,27.36543909348442,81.0321057601511,2016-04-30
4445114986,2016-05-01,2,439,459,70.0,0.9564270152505446,28.692810457516337,98.69281045751634,2016-05-01
4445114986,2016-05-02,1,502,542,70.0,0.9261992619926199,27.785977859778598,97.7859778597786,2016-05-02
4445114986,2016-05-03,2,417,450,69.5,0.9266666666666666,27.8,97.3,2016-05-03
4445114986,2016-05-04,2,337,363,56.16666666666667,0.928374655647383,27.85123966942149,84.01790633608816,2016-05-04
4445114986,2016-05-05,2,462,513,70.0,0.9005847953216374,27.01754385964912,97.01754385964912,2016-05-05
4445114986,2016-05-06,2,374,402,62.33333333333333,0.9303482587064676,27.91044776119403,90.24378109452735,2016-05-06
4445114986,2016-05-07,2,401,436,66.83333333333334,0.9197247706422018,27.591743119266056,94.4250764525994,2016-05-07
4445114986,2016-05-08,1,361,391,60.16666666666667,0.9232736572890026,27.69820971867008,87.86487638533674,2016-05-08
4445114986,2016-05-09,1,457,533,70.0,0.8574108818011257,25.72232645403377,95.72232645403378,2016-05-09
4445114986,2016-05-10,1,405,426,67.5,0.9507042253521126,28.52112676056338,96.02112676056338,2016-05-10
4445114986,2016-05-11,1,499,530,70.0,0.9415094339622642,28.245283018867926,98.24528301886792,2016-05-11
4445114986,2016-05-12,1,483,501,70.0,0.9640718562874252,28.922155688622755,98.92215568862275,2016-05-12
4558609924,2016-04-21,1,126,137,21.0,0.9197080291970803,27.59124087591241,48.591240875912405,2016-04-21
4558609924,2016-04-26,1,103,121,17.166666666666664,0.8512396694214877,25.537190082644628,42.70385674931129,2016-04-26
4558609924,2016-04-29,1,171,179,28.5,0.9553072625698324,28.659217877094974,57.159217877094974,2016-04-29
4558609924,2016-05-01,1,115,129,19.166666666666668,0.8914728682170543,26.74418604651163,45.9108527131783,2016-05-01
4558609924,2016-05-08,1,123,134,20.5,0.917910447761194,27.53731343283582,48.037313432835816,2016-05-08
4702921684,2016-04-12,1,425,439,70.0,0.9681093394077449,29.043280182232348,99.04328018223235,2016-04-12
4702921684,2016-04-13,2,400,430,66.66666666666666,0.9302325581395349,27.906976744186046,94.5736434108527,2016-04-13
4702921684,2016-04-14,1,384,415,64.0,0.9253012048192771,27.759036144578314,91.75903614457832,2016-04-14
4702921684,2016-04-15,1,253,257,42.166666666666664,0.9844357976653697,29.53307392996109,71.69974059662775,2016-04-15
